index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,resolution_width,resolution_height,wifi,fast_charging,ram,rom,hdmi_port,Company,Spec_Score,usb_port
55,lg,TRUE,FALSE,58499,4.15,55,miniled,3840,2160,TRUE,20,,,TRUE,flipkart,59,1
56,sony,TRUE,FALSE,124490,4.6,65,led,3840,2160,TRUE,20,,,TRUE,croma,72,2
57,vw,FALSE,FALSE,10999,4.5,40,qled,,768,FALSE,24,,,TRUE,amazon,26,2
58,sony,TRUE,FALSE,210890,4.35,55,lcd,3840,2160,TRUE,40,,32,TRUE,amazon,76,2
59,vw,FALSE,FALSE,7999,4.45,32,qled,,768,FALSE,24,,,TRUE,amazon,26,2
60,tcl,TRUE,FALSE,72990,4.05,75,led,3840,2160,TRUE,30,,,TRUE,flipkart,62,
61,tcl,TRUE,FALSE,249999,4.5,98,qled,3840,2160,TRUE,20,,32,TRUE,flipkart,84,1
62,hisense,TRUE,FALSE,99990,4.15,75,miniled,3840,2160,TRUE,20,,,TRUE,flipkart,77,2
63,tcl,TRUE,FALSE,86990,4.45,75,qled,3840,2160,TRUE,35,3,32,TRUE,amazon,78,1
64,tcl,TRUE,FALSE,149999,4.35,85,qled,3840,2160,TRUE,20,,32,TRUE,flipkart,81,1
65,samsung,TRUE,FALSE,659990,4.35,85,micro,3840,2160,TRUE,70,,,TRUE,flipkart,91,2
66,vw,FALSE,FALSE,5499,4.65,24,led,,768,TRUE,20,,,TRUE,flipkart,30,2
67,samsung,TRUE,FALSE,82999,4.2,55,oled,3840,2160,TRUE,20,,,TRUE,amazon,72,2
68,acerpure,TRUE,FALSE,39999,4.2,65,qled,3840,2160,TRUE,50,2,16,TRUE,flipkart,65,2
69,samsung,TRUE,FALSE,43990,4.75,55,qled,3840,2160,TRUE,20,,,TRUE,flipkart,55,1
70,xiaomi,TRUE,FALSE,27999,4.1,50,led,3840,2160,TRUE,30,2,,TRUE,flipkart,53,2
71,philips,TRUE,FALSE,26999,4.1,43,qled,3840,2160,TRUE,30,2,32,TRUE,amazon,59,2
72,vu,TRUE,FALSE,26490,4.4,43,qled,3840,2160,TRUE,88,2,16,TRUE,amazon,60,2
73,lg,TRUE,FALSE,105888,4.75,55,oled,3840,2160,TRUE,40,,,TRUE,flipkart,80,3
74,hisense,TRUE,FALSE,34999,4.6,55,qled,3840,2160,TRUE,30,,,TRUE,flipkart,64,2
75,tcl,TRUE,FALSE,54990,4.35,55,miniled,3840,2160,TRUE,20,,,TRUE,croma,66,
76,tcl,TRUE,FALSE,31999,4.45,43,qled,3840,2160,TRUE,20,2,16,TRUE,flipkart,58,1
77,tcl,TRUE,FALSE,69990,4.2,65,miniled,3840,2160,TRUE,20,3,32,TRUE,amazon,72,1
78,realme,TRUE,FALSE,25999,4.5,55,qled,3840,2160,TRUE,40,2,32,TRUE,flipkart,56,2
79,tcl,TRUE,FALSE,30990,4.15,43,qled,3840,2160,TRUE,30,2,16,TRUE,flipkart,55,2
80,xiaomi,TRUE,FALSE,41990,4.2,55,qled,3840,2160,TRUE,34,2,32,TRUE,amazon,63,2
81,tcl,FALSE,TRUE,15490,4.15,32,qled,1920,1080,TRUE,24,1,,TRUE,amazon,40,1
82,lg,FALSE,FALSE,14690,4.65,32,led,,768,TRUE,20,1,,TRUE,flipkart,37,2
83,foxsky,TRUE,FALSE,13999,4.15,43,qled,1920,1080,TRUE,30,,,TRUE,flipkart,47,2
84,xiaomi,FALSE,FALSE,10999,4.7,32,led,,768,TRUE,20,5,,TRUE,flipkart,38,2
85,tcl,TRUE,FALSE,47990,4.35,55,qled,3840,2160,TRUE,20,,16,TRUE,croma,60,2
86,tcl,TRUE,FALSE,64990,4.3,65,qled,3840,2160,TRUE,20,,16,TRUE,croma,63,2
87,samsung,TRUE,FALSE,162990,4.25,65,micro,3840,2160,TRUE,30,,,TRUE,flipkart,77,2
88,blaupunkt,FALSE,TRUE,17499,4.7,43,qled,1920,1080,TRUE,48,1,,TRUE,flipkart,38,2
89,sony,TRUE,FALSE,94990,4.6,55,led,3840,2160,TRUE,20,,,TRUE,amazon,68,2
90,motorola,TRUE,FALSE,30999,4.5,50,qled,3840,2160,TRUE,50,2,32,TRUE,flipkart,57,2
91,motorola,TRUE,FALSE,66999,4.15,75,miniled,3840,2160,TRUE,20,2,64,TRUE,flipkart,70,3
92,samsung,TRUE,FALSE,79999,4.3,65,miniled,3840,2160,TRUE,30,,,TRUE,flipkart,67,1
93,samsung,TRUE,FALSE,70690,4.6,55,miniled,3840,2160,TRUE,20,,,TRUE,croma,66,1
94,lg,TRUE,FALSE,238990,4,65,oled,3840,2160,TRUE,40,,,TRUE,croma,83,3
95,samsung,TRUE,FALSE,31490,4.35,32,led,3840,2160,TRUE,30,,,TRUE,amazon,53,1
96,vw,FALSE,TRUE,13499,4.2,40,qled,1920,1080,TRUE,24,,,TRUE,amazon,40,1
97,lg,TRUE,FALSE,49999,4.4,55,led,3840,2160,TRUE,20,,,TRUE,croma,57,1
98,lg,TRUE,FALSE,75590,4.4,55,miniled,3840,2160,TRUE,20,,,TRUE,croma,72,2
99,lg,TRUE,FALSE,67599,4.7,55,miniled,3840,2160,TRUE,20,2,16,TRUE,flipkart,68,1
100,xiaomi,TRUE,FALSE,51999,4.4,55,miniled,3840,2160,TRUE,34,2,32,TRUE,amazon,64,1
101,vw,TRUE,FALSE,21999,4.4,43,qled,3840,2160,TRUE,60,2,32,TRUE,amazon,51,2
102,iffalcon,TRUE,FALSE,49999,4.45,55,qled,3840,2160,TRUE,20,3,,TRUE,flipkart,63,2
103,kenstar,FALSE,FALSE,8499,4,32,qled,,768,TRUE,20,1,,TRUE,flipkart,36,2
104,philips,TRUE,FALSE,45999,4.7,55,miniled,3840,2160,TRUE,36,2,32,TRUE,amazon,66,2
105,vw,FALSE,FALSE,7999,4.35,32,led,,768,TRUE,20,,,TRUE,flipkart,31,2
106,coocaa,TRUE,FALSE,32999,4.6,55,miniled,3840,2160,TRUE,36,2,32,TRUE,amazon,62,2
107,samsung,TRUE,FALSE,32990,4.1,43,qled,3840,2160,TRUE,20,,,TRUE,flipkart,52,1
108,innoq,FALSE,FALSE,5095,4.6,24,led,,768,FALSE,30,,,TRUE,flipkart,19,2
109,vw,FALSE,TRUE,13099,4.75,40,qled,1920,1080,TRUE,24,,,TRUE,flipkart,40,2
110,vw,FALSE,TRUE,14199,4.35,43,led,1920,1080,TRUE,24,,,TRUE,flipkart,37,2
111,vw,FALSE,FALSE,8999,4.7,32,led,,768,TRUE,24,,,TRUE,amazon,31,2
112,vu,TRUE,FALSE,35990,4.2,55,qled,3840,2160,TRUE,88,2,16,TRUE,amazon,63,2
113,xiaomi,FALSE,FALSE,12999,4.6,32,led,,768,TRUE,20,5,,TRUE,amazon,36,2
114,blaupunkt,FALSE,TRUE,13499,4.75,40,qled,1920,1080,TRUE,48,1,,TRUE,amazon,43,2
115,hisense,TRUE,FALSE,69999,4.45,65,miniled,3840,2160,TRUE,20,,,TRUE,flipkart,73,2
116,sony,TRUE,FALSE,45990,4.3,43,led,3840,2160,TRUE,20,,,TRUE,amazon,53,2
117,sony,TRUE,FALSE,61990,4.45,55,led,3840,2160,TRUE,20,,16,TRUE,amazon,58,2
118,tcl,TRUE,FALSE,44999,4,55,qled,3840,2160,TRUE,35,3,32,TRUE,flipkart,62,1
119,samsung,FALSE,FALSE,16490,4.05,32,led,,768,FALSE,20,,,TRUE,croma,34,1
120,samsung,TRUE,FALSE,43990,4.1,55,qled,3840,2160,TRUE,20,,,TRUE,amazon,59,1
121,tcl,FALSE,TRUE,24990,4.55,43,qled,1920,1080,TRUE,20,,,TRUE,amazon,45,2
122,samsung,TRUE,FALSE,68999,4.25,55,miniled,3840,2160,TRUE,20,,,TRUE,amazon,66,2
123,samsung,TRUE,FALSE,28490,4.7,43,led,3840,2160,TRUE,20,,,TRUE,amazon,53,1
124,lg,TRUE,FALSE,25990,4.75,43,led,3840,2160,TRUE,20,,,TRUE,croma,45,2
125,toshiba,TRUE,FALSE,21999,4,43,qled,3840,2160,TRUE,24,,,TRUE,flipkart,56,2
126,tcl,TRUE,FALSE,34999,4.55,43,qled,3840,2160,TRUE,30,2,32,TRUE,flipkart,56,1
127,marq,FALSE,TRUE,12999,4.5,43,led,1920,1080,TRUE,24,,,TRUE,flipkart,32,2
128,panasonic,TRUE,FALSE,21999,4.35,43,led,3840,2160,TRUE,20,2,16,TRUE,croma,50,2
