,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,resolution_width,resolution_height,wifi,fast_charging,ram,rom,hdmi_port,Spec_Score,Company,usb_port
48,49,xiaomi,0,0,14999,4.55,32.0,qled,1920.0,768.0,1,20.0,1.0,16.0,1,40.0,flipkart,2.0
49,50,acer,1,0,24999,4.25,50.0,qled,3840.0,2160.0,1,36.0,2.0,19.2,1,57.0,flipkart,2.0
50,51,tcl,0,1,15990,4.75,32.0,qled,1920.0,1080.0,1,16.0,1.8,19.2,1,41.0,croma,2.0
51,52,lg,1,0,99999,4.75,75.0,led,3840.0,2160.0,1,20.0,5.0,22.4,1,65.0,flipkart,1.0
52,53,blaupunkt,0,0,11499,4.75,32.0,qled,1920.0,768.0,1,48.0,1.0,16.0,1,37.0,flipkart,2.0
53,54,blaupunkt,0,1,15999,4.65,40.0,qled,1920.0,1080.0,1,48.0,1.0,19.2,1,40.0,flipkart,2.0
54,55,lg,1,0,58499,4.15,55.0,miniled,3840.0,2160.0,1,20.0,2.2,25.6,1,59.0,flipkart,1.0
55,56,sony,1,0,124490,4.6,65.0,led,3840.0,2160.0,1,20.0,3.0,32.0,1,72.0,croma,2.0
56,57,vw,0,0,10999,4.5,40.0,qled,1920.0,768.0,0,24.0,2.6,16.0,1,26.0,amazon,2.0
57,58,sony,1,0,210890,4.35,55.0,lcd,3840.0,2160.0,1,40.0,2.8,32.0,1,76.0,amazon,2.0
58,59,vw,0,0,7999,4.45,32.0,qled,1920.0,768.0,0,24.0,2.6,16.0,1,26.0,amazon,2.0
59,60,tcl,1,0,72990,4.05,75.0,led,3840.0,2160.0,1,30.0,2.4,25.6,1,62.0,flipkart,2.0
60,61,tcl,1,0,249999,4.5,98.0,qled,3840.0,2160.0,1,20.0,3.0,32.0,1,84.0,flipkart,1.0
61,62,hisense,1,0,99990,4.15,75.0,miniled,3840.0,2160.0,1,20.0,2.8,38.4,1,77.0,flipkart,2.0
62,63,tcl,1,0,86990,4.45,75.0,qled,3840.0,2160.0,1,35.0,3.0,32.0,1,78.0,amazon,1.0
63,64,tcl,1,0,149999,4.35,85.0,qled,3840.0,2160.0,1,20.0,3.0,32.0,1,81.0,flipkart,1.0
64,65,samsung,1,0,659990,4.35,85.0,micro,3840.0,2160.0,1,70.0,3.0,38.4,1,91.0,flipkart,2.0
65,66,vw,0,0,5499,4.65,24.0,led,1920.0,768.0,1,20.0,1.8,16.0,1,30.0,flipkart,2.0
66,67,samsung,1,0,82999,4.2,55.0,oled,3840.0,2160.0,1,20.0,3.0,32.0,1,72.0,amazon,2.0
67,68,acerpure,1,0,39999,4.2,65.0,qled,3840.0,2160.0,1,50.0,2.0,16.0,1,65.0,flipkart,2.0
68,69,samsung,1,0,43990,4.75,55.0,qled,3840.0,2160.0,1,20.0,2.0,19.2,1,55.0,flipkart,1.0
69,70,xiaomi,1,0,27999,4.1,50.0,led,3840.0,2160.0,1,30.0,2.0,19.2,1,53.0,flipkart,2.0
70,71,philips,1,0,26999,4.1,43.0,qled,3840.0,2160.0,1,30.0,2.0,32.0,1,59.0,amazon,2.0
71,72,vu,1,0,26490,4.4,43.0,qled,3840.0,2160.0,1,88.0,2.0,16.0,1,60.0,amazon,2.0
72,73,lg,1,0,105888,4.75,55.0,oled,3840.0,2160.0,1,40.0,2.8,44.8,1,80.0,flipkart,3.0
73,74,hisense,1,0,34999,4.6,55.0,qled,3840.0,2160.0,1,30.0,2.0,28.8,1,64.0,flipkart,2.0
74,75,tcl,1,0,54990,4.35,55.0,miniled,3840.0,2160.0,1,20.0,2.8,19.2,1,66.0,croma,1.4
75,76,tcl,1,0,31999,4.45,43.0,qled,3840.0,2160.0,1,20.0,2.0,16.0,1,58.0,flipkart,1.0
76,77,tcl,1,0,69990,4.2,65.0,miniled,3840.0,2160.0,1,20.0,3.0,32.0,1,72.0,amazon,1.0
77,78,realme,1,0,25999,4.5,55.0,qled,3840.0,2160.0,1,40.0,2.0,32.0,1,56.0,flipkart,2.0
78,79,tcl,1,0,30990,4.15,43.0,qled,3840.0,2160.0,1,30.0,2.0,16.0,1,55.0,flipkart,2.0
79,80,xiaomi,1,0,41990,4.2,55.0,qled,3840.0,2160.0,1,34.0,2.0,32.0,1,63.0,amazon,2.0
80,81,tcl,0,1,15490,4.15,32.0,qled,1920.0,1080.0,1,24.0,1.0,19.2,1,40.0,amazon,1.0
81,82,lg,0,0,14690,4.65,32.0,led,1920.0,768.0,1,20.0,1.0,16.0,1,37.0,flipkart,2.0
82,83,foxsky,1,0,13999,4.15,43.0,qled,1920.0,1080.0,1,30.0,2.8,19.2,1,47.0,flipkart,2.0
83,84,xiaomi,0,0,10999,4.7,32.0,led,1920.0,768.0,1,20.0,5.0,16.0,1,38.0,flipkart,2.0
84,85,tcl,1,0,47990,4.35,55.0,qled,3840.0,2160.0,1,20.0,2.0,16.0,1,60.0,croma,2.0
85,86,tcl,1,0,64990,4.3,65.0,qled,3840.0,2160.0,1,20.0,2.2,16.0,1,63.0,croma,2.0
86,87,samsung,1,0,162990,4.25,65.0,micro,3840.0,2160.0,1,30.0,2.8,35.2,1,77.0,flipkart,2.0
87,88,blaupunkt,0,1,17499,4.7,43.0,qled,1920.0,1080.0,1,48.0,1.0,19.2,1,38.0,flipkart,2.0
88,89,sony,1,0,94990,4.6,55.0,led,3840.0,2160.0,1,20.0,2.4,19.2,1,68.0,amazon,2.0
89,90,motorola,1,0,30999,4.5,50.0,qled,3840.0,2160.0,1,50.0,2.0,32.0,1,57.0,flipkart,2.0
90,91,motorola,1,0,66999,4.15,75.0,miniled,3840.0,2160.0,1,20.0,2.0,64.0,1,70.0,flipkart,3.0
91,92,samsung,1,0,79999,4.3,65.0,miniled,3840.0,2160.0,1,30.0,2.0,22.4,1,67.0,flipkart,1.0
92,93,samsung,1,0,70690,4.6,55.0,miniled,3840.0,2160.0,1,20.0,2.8,22.4,1,66.0,croma,1.0
93,94,lg,1,0,238990,4.0,65.0,oled,3840.0,2160.0,1,40.0,3.2,44.8,1,83.0,croma,3.0
94,95,samsung,1,0,31490,4.35,32.0,led,3840.0,2160.0,1,30.0,2.0,22.4,1,53.0,amazon,1.0
95,96,vw,0,1,13499,4.2,40.0,qled,1920.0,1080.0,1,24.0,2.6,19.2,1,40.0,amazon,1.0
96,97,lg,1,0,49999,4.4,55.0,led,3840.0,2160.0,1,20.0,2.0,25.6,1,57.0,croma,1.0
97,98,lg,1,0,75590,4.4,55.0,miniled,3840.0,2160.0,1,20.0,3.0,32.0,1,72.0,croma,2.0
98,99,lg,1,0,67599,4.7,55.0,miniled,3840.0,2160.0,1,20.0,2.0,16.0,1,68.0,flipkart,1.0
99,100,xiaomi,1,0,51999,4.4,55.0,miniled,3840.0,2160.0,1,34.0,2.0,32.0,1,64.0,amazon,1.0
100,101,vw,1,0,21999,4.4,43.0,qled,3840.0,2160.0,1,60.0,2.0,32.0,1,51.0,amazon,2.0
101,102,iffalcon,1,0,49999,4.45,55.0,qled,3840.0,2160.0,1,20.0,3.0,19.2,1,63.0,flipkart,2.0
102,103,kenstar,0,0,8499,4.0,32.0,qled,1920.0,768.0,1,20.0,1.0,16.0,1,36.0,flipkart,2.0
103,104,philips,1,0,45999,4.7,55.0,miniled,3840.0,2160.0,1,36.0,2.0,32.0,1,66.0,amazon,2.0
104,105,vw,0,0,7999,4.35,32.0,led,1920.0,768.0,1,20.0,2.6,16.0,1,31.0,flipkart,2.0
105,106,coocaa,1,0,32999,4.6,55.0,miniled,3840.0,2160.0,1,36.0,2.0,32.0,1,62.0,amazon,2.0
106,107,samsung,1,0,32990,4.1,43.0,qled,3840.0,2160.0,1,20.0,2.0,19.2,1,52.0,flipkart,1.0
107,108,innoq,0,0,5095,4.6,24.0,led,1920.0,768.0,0,30.0,1.8,16.0,1,19.0,flipkart,2.0
108,109,vw,0,1,13099,4.75,40.0,qled,1920.0,1080.0,1,24.0,3.4,19.2,1,40.0,flipkart,2.0
109,110,vw,0,1,14199,4.35,43.0,led,1920.0,1080.0,1,24.0,2.6,19.2,1,37.0,flipkart,2.0
110,111,vw,0,0,8999,4.7,32.0,led,1920.0,768.0,1,24.0,2.6,16.0,1,31.0,amazon,2.0
111,112,vu,1,0,35990,4.2,55.0,qled,3840.0,2160.0,1,88.0,2.0,16.0,1,63.0,amazon,2.0
112,113,xiaomi,0,0,12999,4.6,32.0,led,1920.0,768.0,1,20.0,5.0,16.0,1,36.0,amazon,2.0
113,114,blaupunkt,0,1,13499,4.75,40.0,qled,1920.0,1080.0,1,48.0,1.0,19.2,1,43.0,amazon,2.0
114,115,hisense,1,0,69999,4.45,65.0,miniled,3840.0,2160.0,1,20.0,2.6,32.0,1,73.0,flipkart,2.0
115,116,sony,1,0,45990,4.3,43.0,led,3840.0,2160.0,1,20.0,2.2,19.2,1,53.0,amazon,2.0
116,117,sony,1,0,61990,4.45,55.0,led,3840.0,2160.0,1,20.0,2.0,16.0,1,58.0,amazon,2.0
117,118,tcl,1,0,44999,4.0,55.0,qled,3840.0,2160.0,1,35.0,3.0,32.0,1,62.0,flipkart,1.0
118,119,samsung,0,0,16490,4.05,32.0,led,1920.0,768.0,0,20.0,2.6,16.0,1,34.0,croma,1.0
119,120,samsung,1,0,43990,4.1,55.0,qled,3840.0,2160.0,1,20.0,2.2,25.6,1,59.0,amazon,1.0
120,121,tcl,0,1,24990,4.55,43.0,qled,1920.0,1080.0,1,20.0,2.6,19.2,1,45.0,amazon,2.0
121,122,samsung,1,0,68999,4.25,55.0,miniled,3840.0,2160.0,1,20.0,2.2,19.2,1,66.0,amazon,2.0
122,123,samsung,1,0,28490,4.7,43.0,led,3840.0,2160.0,1,20.0,2.0,19.2,1,53.0,amazon,1.0
123,124,lg,1,0,25990,4.75,43.0,led,3840.0,2160.0,1,20.0,2.0,19.2,1,45.0,croma,2.0
124,125,toshiba,1,0,21999,4.0,43.0,qled,3840.0,2160.0,1,24.0,2.0,16.0,1,56.0,flipkart,2.0
125,126,tcl,1,0,34999,4.55,43.0,qled,3840.0,2160.0,1,30.0,2.0,32.0,1,56.0,flipkart,1.0
126,127,marq,0,1,12999,4.5,43.0,led,1920.0,1080.0,1,24.0,1.8,19.2,1,32.0,flipkart,2.0
127,128,panasonic,1,0,21999,4.35,43.0,led,3840.0,2160.0,1,20.0,2.0,16.0,1,50.0,croma,2.0
128,129,sony,1,0,34999,4.05,43.0,led,3840.0,2160.0,1,20.0,2.0,22.4,1,49.0,croma,1.0
129,130,samsung,0,0,13990,4.4,32.0,led,1920.0,768.0,1,20.0,1.8,16.0,1,31.0,croma,1.0
130,131,kodak,0,1,15999,4.25,40.0,qled,1920.0,1080.0,1,40.0,1.0,19.2,1,42.0,flipkart,2.0
131,132,lg,1,0,44999,4.2,43.0,miniled,3840.0,2160.0,1,20.0,2.0,19.2,1,55.0,flipkart,1.0
132,133,lg,1,0,112990,4.6,65.0,miniled,3840.0,2160.0,1,20.0,3.0,44.8,1,78.0,croma,2.0
133,134,lg,1,0,112890,4.75,48.0,oled,3840.0,2160.0,1,20.0,3.0,57.6,1,79.0,croma,2.0
134,135,lg,1,0,436990,4.35,77.0,oled,3840.0,2160.0,1,40.0,3.2,44.8,1,87.0,croma,3.0
135,136,tcl,1,0,34990,4.35,55.0,led,3664.0,1858.7843530591774,0,28.723232323232324,2.2099322799097068,25.5,0,54.300601202404806,croma,1.8052738336713996
136,137,tcl,1,0,38990,4.15,50.0,qled,3840.0,2160.0,1,20.0,2.0,16.0,1,58.0,croma,2.0
137,138,tcl,1,0,54990,4.25,65.0,led,3840.0,2160.0,1,24.0,1.8,16.0,1,54.0,amazon,2.0
138,139,tcl,1,0,52990,4.2,55.0,qled,3840.0,2160.0,1,20.0,3.0,32.0,1,69.0,croma,1.0
139,140,tcl,1,0,69990,4.55,65.0,qled,3840.0,2160.0,1,20.0,3.0,32.0,1,73.0,croma,1.0
140,141,tcl,1,0,41990,4.4,55.0,qled,3840.0,2160.0,1,24.0,2.0,16.0,1,59.0,amazon,1.0
141,142,tcl,1,0,32990,4.3,43.0,qled,3840.0,2160.0,1,24.0,2.0,16.0,1,56.0,amazon,1.0
142,143,samsung,1,0,62990,4.55,65.0,led,3840.0,2160.0,1,30.0,2.2,28.8,1,63.0,amazon,1.0
143,144,samsung,1,0,62990,4.0,55.0,miniled,3840.0,2160.0,1,20.0,2.2,22.4,1,61.0,croma,1.0
144,145,tcl,1,0,51999,4.65,55.0,qled,3840.0,2160.0,1,35.0,3.0,32.0,1,67.0,flipkart,1.0
145,146,motorola,1,0,109999,4.1,85.0,miniled,3840.0,2160.0,1,20.0,2.0,64.0,1,76.0,flipkart,3.0
146,147,realme,0,1,18199,4.45,40.0,qled,1920.0,1080.0,1,26.0,1.0,19.2,1,44.0,flipkart,2.0
147,148,samsung,1,0,31490,4.3,43.0,led,3840.0,2160.0,1,30.0,2.0,25.6,1,54.0,flipkart,1.0
148,149,toshiba,1,0,39990,4.6,55.0,led,3840.0,2160.0,1,30.0,2.0,19.2,1,53.0,amazon,3.0
149,150,samsung,1,0,44990,4.2,55.0,led,3840.0,2160.0,1,30.0,2.0,32.0,1,59.0,amazon,1.0
150,151,croma,1,0,38990,4.2,55.0,qled,3840.0,2160.0,1,24.0,2.0,32.0,1,58.0,croma,2.0
151,152,lg,1,0,140490,4.65,55.0,oled,3840.0,2160.0,1,20.0,3.0,57.6,1,80.0,croma,2.0
152,153,lg,1,0,68490,4.55,55.0,miniled,3840.0,2160.0,1,20.0,2.4,22.4,1,67.0,croma,1.0
153,154,vw,1,0,25999,4.5,50.0,qled,3840.0,2160.0,1,60.0,2.0,32.0,1,54.0,amazon,2.0
154,155,lg,0,0,18390,4.0,32.0,led,1920.0,768.0,1,10.0,1.8,16.0,1,36.0,croma,1.0
155,156,lg,1,0,44190,4.2,50.0,led,3840.0,2160.0,1,20.0,2.0,19.2,1,55.0,croma,1.0
156,157,samsung,1,0,126990,4.2,55.0,micro,3840.0,2160.0,1,30.0,2.6,25.6,1,75.0,flipkart,2.0
157,158,lg,1,0,45999,4.05,55.0,led,3840.0,2160.0,1,20.0,2.0,19.2,1,55.0,amazon,1.0
158,159,lg,0,0,17690,4.55,32.0,led,1920.0,768.0,1,10.0,1.8,16.0,1,38.0,croma,1.0
159,160,lg,0,0,18999,4.45,32.0,led,1920.0,768.0,1,10.0,1.8,16.0,1,36.0,amazon,1.0
160,161,lg,1,0,96999,4.35,65.0,miniled,3840.0,2160.0,1,20.0,2.0,16.0,1,74.0,amazon,1.0
161,162,motorola,0,0,11699,4.75,32.0,qled,1920.0,768.0,1,40.0,1.0,16.0,1,41.0,flipkart,2.0
