,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,hdmi_port,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,usb_port,Spec_Score,size_category,charging_category,brand_score
38,39,hisense,1,0,10.968198289528557,4.2,55.0,miniled,1,28.8,1,0.0049966378730667,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,8.0
39,40,hisense,1,0,11.251443810887574,4.25,65.0,miniled,1,32.0,1,0.0040297441226133,4.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,8.0
40,41,tcl,1,0,11.097273648073832,4.45,65.0,qled,1,32.0,1,0.0049901500227307,3.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0,8.0
41,42,samsung,1,0,10.707527418047702,4.65,43.0,miniled,1,25.6,1,0.0059308570149921,3.0,0.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,10.0
42,43,lg,1,0,10.404262840448617,4.45,43.0,led,1,19.2,1,0.0067426285645019,3.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,10.0
43,44,lg,1,0,10.499573020252942,4.55,43.0,led,1,22.4,1,0.0067687815091324,3.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,10.0
44,45,tcl,1,0,11.44025799325892,4.4,75.0,qled,1,32.0,1,0.0036434025163996,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0,8.0
45,46,tcl,1,0,10.87787736679393,4.45,55.0,qled,1,32.0,1,0.0057105114172485,3.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0,8.0
46,47,tcl,1,0,10.66874607044333,4.7,55.0,qled,1,32.0,1,0.0069969760409397,3.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,8.0
47,48,xiaomi,1,0,10.203592144986466,4.1,43.0,qled,1,32.0,1,0.0082003037149524,4.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,8.0
48,49,xiaomi,0,0,9.615805480084347,4.55,32.0,qled,1,16.0,1,0.0121341422761517,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,8.0
49,50,acer,1,0,10.126631103850338,4.25,50.0,qled,1,19.2,1,0.0096903876155046,4.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0
50,51,tcl,0,1,9.679781342959442,4.75,32.0,qled,1,19.2,1,0.0121794871794871,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,8.0
51,52,lg,1,0,11.512925464970229,4.75,75.0,led,1,22.4,1,0.0030875308753087,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,10.0
52,53,blaupunkt,0,0,9.35010231435134,4.75,32.0,qled,1,16.0,1,0.014955514695145557,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0
53,54,blaupunkt,0,1,9.680344001221918,4.65,40.0,qled,1,19.2,1,0.0116257266079129,4.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,6.0
54,55,lg,1,0,10.976782033219948,4.15,55.0,miniled,1,25.6,1,0.0041855416331903,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,10.0
55,56,sony,1,0,11.731988703117286,4.6,65.0,led,1,32.0,1,0.0026604546549923,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,10.0
56,57,vw,0,0,9.305650551780507,4.5,40.0,qled,0,16.0,1,0.0106373306664242,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,7.538144329896907
57,58,sony,1,0,12.259096691303094,4.35,55.0,lcd,1,32.0,1,0.0015676418986201,4.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,10.0
58,59,vw,0,0,9.121509158269568,4.45,32.0,qled,0,16.0,1,0.0144643080385048,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,7.538144329896907
59,60,tcl,1,0,11.198091424858744,4.05,75.0,led,1,25.6,1,0.0034401972872996,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,8.0
60,61,tcl,1,0,12.345797413264954,4.5,77.0,qled,1,32.0,1,0.001542252479739705,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0,8.0
61,62,hisense,1,0,11.512835460919986,4.15,75.0,miniled,1,38.4,1,0.0031958195819581,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,8.0
62,63,tcl,1,0,11.373559944009717,4.45,75.0,qled,1,32.0,1,0.0039901138061846,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0,8.0
63,64,tcl,1,0,11.918390573078392,4.35,77.0,qled,1,32.0,1,0.0023490156601044,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0,8.0
64,65,samsung,1,0,12.345797413264954,4.35,77.0,micro,1,38.4,1,0.001542252479739705,4.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,0.0,10.0
65,66,vw,0,0,9.121509158269568,4.65,32.0,led,1,16.0,1,0.014955514695145557,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,7.538144329896907
66,67,samsung,1,0,11.326595886778737,4.2,55.0,oled,1,32.0,1,0.0036434173905709,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,10.0
67,68,acerpure,1,0,10.596634733096073,4.2,65.0,qled,1,16.0,1,0.0068251706292657,4.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0
68,69,samsung,1,0,10.69174034652358,4.75,55.0,qled,1,19.2,1,0.0059388497385769,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,10.0
69,70,xiaomi,1,0,10.23995978915734,4.1,50.0,led,1,19.2,1,0.0077609914639808,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,8.0
70,71,philips,1,0,10.203592144986466,4.1,43.0,qled,1,32.0,1,0.0089595910959665,4.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,8.0
71,72,vu,1,0,10.184560331647974,4.4,43.0,qled,1,16.0,1,0.0099660249150622,4.0,1.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,7.0
72,73,lg,1,0,11.570146654617512,4.75,55.0,oled,1,44.8,1,0.0035886974916893,4.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,10.0
73,74,hisense,1,0,10.46310334047155,4.6,55.0,qled,1,28.8,1,0.0084116689048258,4.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,8.0
74,75,tcl,1,0,10.91492481446108,4.35,55.0,miniled,1,19.2,1,0.0052209492635024,3.4,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,8.0
75,76,tcl,1,0,10.373491181781864,4.45,43.0,qled,1,16.0,1,0.008065877058658,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,8.0
76,77,tcl,1,0,11.15612194133691,4.2,65.0,miniled,1,32.0,1,0.004320617231033,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0,8.0
77,78,realme,1,0,10.16585181700362,4.5,55.0,qled,1,32.0,1,0.009692680487711,4.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0
78,79,tcl,1,0,10.341452118734878,4.15,43.0,qled,1,16.0,1,0.0073652791222975,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,8.0
79,80,xiaomi,1,0,10.645210588588755,4.2,55.0,qled,1,32.0,1,0.0063015003572279,4.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,8.0
80,81,tcl,0,1,9.648014489106362,4.15,32.0,qled,1,19.2,1,0.0107165913492575,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,8.0
81,82,lg,0,0,9.594990340370426,4.65,32.0,led,1,16.0,1,0.0117120490129339,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,10.0
82,83,foxsky,1,0,9.546812608597396,4.15,43.0,qled,1,19.2,1,0.0139331380812915,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0
83,84,xiaomi,0,0,9.305650551780507,4.7,32.0,led,1,16.0,1,0.014955514695145557,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,8.0
84,85,tcl,1,0,10.778768772309704,4.35,55.0,qled,1,16.0,1,0.0054386330485517,4.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,8.0
85,86,tcl,1,0,11.082004077752629,4.3,65.0,qled,1,16.0,1,0.004168333589783,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,8.0
86,87,samsung,1,0,12.001450263540583,4.25,65.0,micro,1,35.2,1,0.0020077918890729,4.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,10.0
87,88,blaupunkt,0,1,9.769956159911606,4.7,43.0,qled,1,19.2,1,0.0102062975027144,4.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0
88,89,sony,1,0,11.461537429252754,4.6,55.0,led,1,19.2,1,0.0032929782082324,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,10.0
89,90,motorola,1,0,10.341742483467284,4.5,50.0,qled,1,32.0,1,0.0082744604664666,4.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0
90,91,motorola,1,0,11.112447898373103,4.15,75.0,miniled,1,44.8,1,0.0043358856102329,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,7.0
91,92,samsung,1,0,11.289781913656018,4.3,65.0,miniled,1,22.4,1,0.0036012950161877,3.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,4.0,1.0,2.0,10.0
92,93,samsung,1,0,11.1660735453374,4.6,55.0,miniled,1,22.4,1,0.0042948083180082,3.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0,10.0
93,94,lg,1,0,12.345797413264954,4.0,65.0,oled,1,44.8,1,0.001542252479739705,4.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,10.0
94,95,samsung,1,0,10.357457069703909,4.35,32.0,led,1,22.4,1,0.0073213718640838,3.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,10.0
95,96,vw,0,1,9.51044496442652,4.2,40.0,qled,1,19.2,1,0.0124453663234313,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,7.538144329896907
96,97,lg,1,0,10.819778284410283,4.4,55.0,led,1,25.6,1,0.0050161003220064,3.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,10.0
